date,NewCases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2
33,0
34,0
35,6
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,4
46,3
47,0
48,4
49,1
50,7
51,2
52,8
53,17
54,11
55,11
56,7
57,19
58,60
59,82
60,138
61,161
62,92
63,89
64,129
65,275
66,410
67,429
68,410
69,341
70,343
71,523
72,814
73,550
74,821
75,793
76,551
77,1033
78,818
79,929
80,1475
81,919
82,917
83,568
84,711
85,816
86,803
87,822
88,1203
89,796
90,514
91,594
92,914
93,820
94,937
95,944
96,844
97,715
98,754
99,905
100,971
101,1233
102,1270
103,1091
104,866
105,835
106,1152
107,1155
108,1241
109,1261
110,906
111,1188
112,951
113,1360
114,1474
115,1347
116,1818
117,879
118,962
119,960
120,1292
121,1289
122,1072
123,928
124,1082
125,599
126,440
127,1083
128,1532
129,1715
130,1253
131,1323
132,1578
133,1107
134,1885
135,1580
136,1784
137,1993
138,1754
139,871
140,1378
141,1945
142,2500
143,2001
144,2259
145,2089
146,1422
147,2184
148,4247
149,3493
150,3211
151,4645
152,4272
153,3292
154,4760
155,5080
156,6584
157,5473
158,5799
159,6057
160,4227
161,5890
162,7947
163,8123
164,7434
165,7789
166,5658
167,4430
168,9213
169,9814
170,9952
171,10909
172,9923
173,8332
174,6531
175,8921
176,10906
177,11840
178,15038
179,9738
180,8805
181,7977
182,7636
183,9922
184,10967
185,9543
186,7558
187,7947
188,4129
189,6557
190,10554
191,9042
192,10243
193,10956
194,5134
195,6535
196,8782
197,9564
198,9362
199,7635
200,8164
201,6339
202,5787
203,6790
204,7716
205,6927
206,6980
207,8865
208,7673
209,8121
210,5594
211,8162
212,5403
213,5277
214,5505
215,5751
216,2988
217,5477
218,6086
219,6129
220,3811
221,4845
222,5342
223,2713
224,3770
225,5217
226,4310
227,3477
228,5468
229,4457
230,2092
231,871
232,4218
233,4722
234,2739
235,5407
236,2626
237,4020
238,4606
239,6962
240,4525
241,4389
242,3229
243,3262
244,5546
245,22276
246,4333
247,4482
248,4828
249,3265
250,2998
251,5897
252,3140
253,6864
254,3484
255,4039
256,5896
257,5449
258,3029
259,4095
260,4656
261,5975
262,4566
263,4509
264,3517
265,2992
266,4057
267,5509
268,5852
269,5809
270,5590
271,4426
272,5383
273,4704
274,5869
275,6472
276,5293
277,7676
278,7267
279,3935
280,6648
281,7235
282,7770
283,7110
284,6668
285,7428
286,4338
287,7991
288,8512
289,10627
290,8975
291,10014
292,5929
293,6935
294,9798
295,11644
296,12857
297,9727
298,12584
299,9750
300,7368
301,11281
302,10895
303,13222
304,13778
305,13687
306,10904
307,8494
308,11073
309,20532
310,14917
311,4610
312,4621
313,6226
314,12143
315,15060
316,13352
317,18544
318,17912
319,14104
320,11175
321,9219
322,14821
323,13890
324,15267
325,13132
326,58246
327,11475
328,6725
329,13602
330,19661
331,21754
332,16511
333,19346
334,13376
335,7830
336,16883
337,22118
338,20674
339,7991
340,2068
341,5733
342,22669
343,20468
344,23779
345,19418
346,16841
347,7779
348,14057
349,16019
350,23104
351,30992
352,25322
353,22626
354,24078
355,17543
356,14034
357,23740
358,27215
359,23108
360,29900
361,24562
362,18319
363,12466
364,11204
365,21867
366,28007
367,21466
368,18268
369,13933
370,7713
371,20411
372,20594
373,19746
374,19499
375,18719
376,13766
377,12376
378,39190
379,18220
380,17964
381,13573
382,14375
383,8500
384,7535
385,10883
386,13232
387,13084
388,11876
389,12285
390,8007
391,4507
392,2922
393,3630
394,4487
395,2354
396,5898
397,5507
398,6390
399,7331
400,10267
401,7596
402,7811
403,10882
404,5415
405,3602
406,8106
407,7177
408,7549
409,7522
410,5554
411,3594
412,2788
413,3960
414,5380
415,5321
416,6153
417,5198
418,2846
419,2712
420,4656
421,5823
422,4541
423,3396
424,3893
425,2453
426,2307
427,3408
428,4353
429,3789
430,5358
431,3899
432,3073
433,2970
434,4493
435,3406
436,4069
437,3655
438,2006
439,1675
440,1000
441,4940
442,4198
443,3911
444,4484
445,3238
446,2433
447,1448
448,5550
449,4813
450,3593
451,3323
452,3011
453,1805
454,1439
455,4695
456,4699
457,4055
458,3675
459,2614
460,1985
461,1480
462,4395
463,3740
464,4128
465,3551
466,3683
467,2012
468,1240
469,4105
470,2747
471,2247
472,2598
473,2883
474,1415
475,1251
476,2664
477,2916
478,2438
479,2236
480,2434
481,1085
482,665
483,2118
484,3428
485,1896
486,1684
487,1543
488,949
489,748
490,2862
491,2520
492,1624
493,1737
494,1653
495,665
496,165
497,153
498,702
499,2347
500,3104
501,1636
502,1294
503,630
504,819
505,1845
506,6951
507,1853
508,1138
509,823
510,423
511,883
512,1081
513,2254
514,783
515,1081
516,1719
517,373
518,653
519,1890
520,1136
521,1678
522,1684
523,1500
524,176
525,864
526,1725
527,2986
528,1310
529,1878
530,1229
531,219
532,537
533,1171
534,4060
535,2357
536,2400
537,1596
538,430
539,1814
540,3657
541,4787
542,3009
543,4682
544,2633
545,1746
546,2553
547,4875
548,7810
549,7404
550,6812
551,5046
552,1398
553,5300
554,11881
555,8769
556,15149
557,14195
558,5631
559,3592
560,8407
561,20004
562,11711
563,17534
564,24559
565,11371
566,2372
567,11491
568,20078
569,21854
